หมวด,ฟีเจอร์ที่สกัด,หัวข้อประเมิน,สิ่งที่พิจารณา,ปรับปรุง,พอใช้,ใช้ได้,ใช้ได้ดี,ควรใช้,หมายเหตุ
02_รายฟีเจอร์,ประเภทการมาใช้บริการ,ภาษาและศัพท์ทางเภสัช,ใช้คำศัพท์คลินิก/เภสัชเข้าใจได้ ชื่อยาและขนาดชัดเจนตามบทสนทนา,,,,,,
02_รายฟีเจอร์,ประวัติการแพ้ยา,【ประวัติการแพ้ยา】ภาพรวมฟีเจอร์นี้,ฟีเจอร์: ชื่อยา กลุ่มยา อาการแพ้ สารที่เกี่ยวข้อง — ห้ามพลาดข้อมูลแพ้ — ประเมินภาพรวมการสกัดฟีเจอร์นี้จากหลายบทสนทนา,,,,,,
02_รายฟีเจอร์,ประวัติการแพ้ยา,ความถูกต้องต่อบทสนทนา,ข้อความที่ AI สกัดตรงกับสิ่งที่พูดจริง ไม่เปลี่ยนความหมาย ไม่สลับผู้ป่วย/ยา/อาการ,,,,,,
02_รายฟีเจอร์,ประวัติการแพ้ยา,ความครบถ้วนของประเด็นสำคัญ,ประเด็นสำคัญในบทสนทนาถูกนำมาบันทึกครบ (ไม่ขาดหัวข้อหลักที่เภสัชต้องใช้),,,,,,
02_รายฟีเจอร์,ประวัติการแพ้ยา,ไม่สร้างข้อมูลนอกบทสนทนา,ไม่ hallucinate — ไม่เติมยา อาการ แพ้ยา หรือคำแนะนำที่ไม่มีหลักฐานในบทสนทนา,,,,,,
02_รายฟีเจอร์,ประวัติการแพ้ยา,การจัดการเมื่อไม่มีข้อมูล,เมื่อบทสนทนาไม่มีข้อมูล ใช้ '-' หรือว่างอย่างเหมาะสม ไม่เดาเติม,,,,,,
02_รายฟีเจอร์,ประวัติการแพ้ยา,ความกระชับและไม่ซ้ำซ้อน,ไม่ยืด ไม่คัดลอกซ้ำหลายฟีเจอร์โดยไม่จำเป็น อ่านแล้วตรงประเด็น,,,,,,
02_รายฟีเจอร์,ประวัติการแพ้ยา,ภาษาและศัพท์ทางเภสัช,ใช้คำศัพท์คลินิก/เภสัชเข้าใจได้ ชื่อยาและขนาดชัดเจนตามบทสนทนา,,,,,,
02_รายฟีเจอร์,โรคประจำตัว,【โรคประจำตัว】ภาพรวมฟีเจอร์นี้,ฟีเจอร์: โรคเดิมที่มีผลต่อการเลือกยาและคำแนะนำ — ประเมินภาพรวมการสกัดฟีเจอร์นี้จากหลายบทสนทนา,,,,,,
02_รายฟีเจอร์,โรคประจำตัว,ความถูกต้องต่อบทสนทนา,ข้อความที่ AI สกัดตรงกับสิ่งที่พูดจริง ไม่เปลี่ยนความหมาย ไม่สลับผู้ป่วย/ยา/อาการ,,,,,,
02_รายฟีเจอร์,โรคประจำตัว,ความครบถ้วนของประเด็นสำคัญ,ประเด็นสำคัญในบทสนทนาถูกนำมาบันทึกครบ (ไม่ขาดหัวข้อหลักที่เภสัชต้องใช้),,,,,,
02_รายฟีเจอร์,โรคประจำตัว,ไม่สร้างข้อมูลนอกบทสนทนา,ไม่ hallucinate — ไม่เติมยา อาการ แพ้ยา หรือคำแนะนำที่ไม่มีหลักฐานในบทสนทนา,,,,,,
02_รายฟีเจอร์,โรคประจำตัว,การจัดการเมื่อไม่มีข้อมูล,เมื่อบทสนทนาไม่มีข้อมูล ใช้ '-' หรือว่างอย่างเหมาะสม ไม่เดาเติม,,,,,,
02_รายฟีเจอร์,โรคประจำตัว,ความกระชับและไม่ซ้ำซ้อน,ไม่ยืด ไม่คัดลอกซ้ำหลายฟีเจอร์โดยไม่จำเป็น อ่านแล้วตรงประเด็น,,,,,,
02_รายฟีเจอร์,โรคประจำตัว,ภาษาและศัพท์ทางเภสัช,ใช้คำศัพท์คลินิก/เภสัชเข้าใจได้ ชื่อยาและขนาดชัดเจนตามบทสนทนา,,,,,,
02_รายฟีเจอร์,ประวัติการจ่ายยา,【ประวัติการจ่ายยา】ภาพรวมฟีเจอร์นี้,ฟีเจอร์: ยาที่ใช้อยู่ / กินมาก่อนมาพบ / ยาที่อาจมีปฏิกิริยากับยาใหม่ — ประเมินภาพรวมการสกัดฟีเจอร์นี้จากหลายบทสนทนา,,,,,,
02_รายฟีเจอร์,ประวัติการจ่ายยา,ความถูกต้องต่อบทสนทนา,ข้อความที่ AI สกัดตรงกับสิ่งที่พูดจริง ไม่เปลี่ยนความหมาย ไม่สลับผู้ป่วย/ยา/อาการ,,,,,,
02_รายฟีเจอร์,ประวัติการจ่ายยา,ความครบถ้วนของประเด็นสำคัญ,ประเด็นสำคัญในบทสนทนาถูกนำมาบันทึกครบ (ไม่ขาดหัวข้อหลักที่เภสัชต้องใช้),,,,,,
02_รายฟีเจอร์,ประวัติการจ่ายยา,ไม่สร้างข้อมูลนอกบทสนทนา,ไม่ hallucinate — ไม่เติมยา อาการ แพ้ยา หรือคำแนะนำที่ไม่มีหลักฐานในบทสนทนา,,,,,,
02_รายฟีเจอร์,ประวัติการจ่ายยา,การจัดการเมื่อไม่มีข้อมูล,เมื่อบทสนทนาไม่มีข้อมูล ใช้ '-' หรือว่างอย่างเหมาะสม ไม่เดาเติม,,,,,,
02_รายฟีเจอร์,ประวัติการจ่ายยา,ความกระชับและไม่ซ้ำซ้อน,ไม่ยืด ไม่คัดลอกซ้ำหลายฟีเจอร์โดยไม่จำเป็น อ่านแล้วตรงประเด็น,,,,,,
02_รายฟีเจอร์,ประวัติการจ่ายยา,ภาษาและศัพท์ทางเภสัช,ใช้คำศัพท์คลินิก/เภสัชเข้าใจได้ ชื่อยาและขนาดชัดเจนตามบทสนทนา,,,,,,
02_รายฟีเจอร์,บันทึกทางการแพทย์,【บันทึกทางการแพทย์】ภาพรวมฟีเจอร์นี้,ฟีเจอร์: อาการ ระยะเวลา ความรุนแรง ตำแหน่ง บริบทคลินิกจากบทสนทนา — ประเมินภาพรวมการสกัดฟีเจอร์นี้จากหลายบทสนทนา,,,,,,
02_รายฟีเจอร์,บันทึกทางการแพทย์,ความถูกต้องต่อบทสนทนา,ข้อความที่ AI สกัดตรงกับสิ่งที่พูดจริง ไม่เปลี่ยนความหมาย ไม่สลับผู้ป่วย/ยา/อาการ,,,,,,
02_รายฟีเจอร์,บันทึกทางการแพทย์,ความครบถ้วนของประเด็นสำคัญ,ประเด็นสำคัญในบทสนทนาถูกนำมาบันทึกครบ (ไม่ขาดหัวข้อหลักที่เภสัชต้องใช้),,,,,,
02_รายฟีเจอร์,บันทึกทางการแพทย์,ไม่สร้างข้อมูลนอกบทสนทนา,ไม่ hallucinate — ไม่เติมยา อาการ แพ้ยา หรือคำแนะนำที่ไม่มีหลักฐานในบทสนทนา,,,,,,
02_รายฟีเจอร์,บันทึกทางการแพทย์,การจัดการเมื่อไม่มีข้อมูล,เมื่อบทสนทนาไม่มีข้อมูล ใช้ '-' หรือว่างอย่างเหมาะสม ไม่เดาเติม,,,,,,
02_รายฟีเจอร์,บันทึกทางการแพทย์,ความกระชับและไม่ซ้ำซ้อน,ไม่ยืด ไม่คัดลอกซ้ำหลายฟีเจอร์โดยไม่จำเป็น อ่านแล้วตรงประเด็น,,,,,,
02_รายฟีเจอร์,บันทึกทางการแพทย์,ภาษาและศัพท์ทางเภสัช,ใช้คำศัพท์คลินิก/เภสัชเข้าใจได้ ชื่อยาและขนาดชัดเจนตามบทสนทนา,,,,,,
02_รายฟีเจอร์,คำแนะนำจากเภสัช,【คำแนะนำจากเภสัช】ภาพรวมฟีเจอร์นี้,ฟีเจอร์: วิธีใช้ยา ข้อควรระวัง การดูแลตัวเอง สัญญาณให้พบแพทย์ — ประเมินภาพรวมการสกัดฟีเจอร์นี้จากหลายบทสนทนา,,,,,,
02_รายฟีเจอร์,คำแนะนำจากเภสัช,ความถูกต้องต่อบทสนทนา,ข้อความที่ AI สกัดตรงกับสิ่งที่พูดจริง ไม่เปลี่ยนความหมาย ไม่สลับผู้ป่วย/ยา/อาการ,,,,,,
02_รายฟีเจอร์,คำแนะนำจากเภสัช,ความครบถ้วนของประเด็นสำคัญ,ประเด็นสำคัญในบทสนทนาถูกนำมาบันทึกครบ (ไม่ขาดหัวข้อหลักที่เภสัชต้องใช้),,,,,,
02_รายฟีเจอร์,คำแนะนำจากเภสัช,ไม่สร้างข้อมูลนอกบทสนทนา,ไม่ hallucinate — ไม่เติมยา อาการ แพ้ยา หรือคำแนะนำที่ไม่มีหลักฐานในบทสนทนา,,,,,,
02_รายฟีเจอร์,คำแนะนำจากเภสัช,การจัดการเมื่อไม่มีข้อมูล,เมื่อบทสนทนาไม่มีข้อมูล ใช้ '-' หรือว่างอย่างเหมาะสม ไม่เดาเติม,,,,,,
02_รายฟีเจอร์,คำแนะนำจากเภสัช,ความกระชับและไม่ซ้ำซ้อน,ไม่ยืด ไม่คัดลอกซ้ำหลายฟีเจอร์โดยไม่จำเป็น อ่านแล้วตรงประเด็น,,,,,,
02_รายฟีเจอร์,คำแนะนำจากเภสัช,ภาษาและศัพท์ทางเภสัช,ใช้คำศัพท์คลินิก/เภสัชเข้าใจได้ ชื่อยาและขนาดชัดเจนตามบทสนทนา,,,,,,
03_Input/Pipeline,—,【คำชี้แจง】หมวดนี้,ประเมินว่าคุณภาพบทสนทนา/ขั้นตอนก่อน extract กระทบผลลัพธ์อย่างไร,,,,,,
03_Input/Pipeline,—,คุณภาพ input บทสนทนา,ความชัดเจนของ transcript/diarization ส่งผลต่อการสกัด — แยกประเมินจากคุณภาพโมเดล,,,,,,
03_Input/Pipeline,—,การสกัดเมื่อบทสนทนาสั้น,บทสนทนาสั้นมาก — ไม่ยืดเกินจริง ยังคงใส่ '-' เมื่อไม่มีข้อมูล,,,,,,
03_Input/Pipeline,—,การสกัดเมื่อบทสนทนายาว,บทสนทนายาว — ไม่ตกหล่นประเด็นท้ายบทสนทนา,,,,,,
04_สรุปผล,—,【คำชี้แจง】หมวดนี้,สรุปข้อเสนอเชิงนโยบายการนำ AI extract มาใช้ในหน้างานเภสัช,,,,,,
04_สรุปผล,ทุกฟีเจอร์,ความพร้อมใช้แทนการพิมพ์ฟีเจอร์เอง,ลดเวลาพิมพ์และลดการพลาดเมื่อเทียบกับเภสัชพิมพ์เองจากบทสนทนาเดียวกัน,,,,,,
04_สรุปผล,ทุกฟีเจอร์,ระดับความไว้ใจต่อการบันทึกอัตโนมัติ,เชื่อถือได้แค่ไหนโดยไม่ต้องตรวจทุกคำ vs ต้องตรวจทุกฟิลด์,,,,,,
04_สรุปผล,ทุกฟีเจอร์,ควรนำ AI feature extraction มาใช้ในหน้างาน,ภาพรวมข้อเสนอ: ใช้ / ใช้บางส่วน / ยังไม่ควรใช้,,,,,,
04_สรุปผล,—,ข้อเสนอแนะเพิ่มเติม,ฟีเจอร์ใดควรปรับ prompt/โมเดลก่อน จุดอันตรายที่พบบ่อย ชื่อผู้ประเมิน วันที่,,,,,,กรอกชื่อผู้ประเมินและวันที่ในช่องนี้
